WILDLAND FEDERAL AGENCY CODES,
(NIFC Standard Codeset),
,
Agency Code,AGENCY (Wildland) 
AKCGF,USDA - FOREST SERVICE (Chugach National Forest)
AKTNF,USDA- FOREST SERVICE (Tongass National Forest)
AKANA,USDI - BUREAU OF INDIAN AFFAIRS (Anchorage Agency)
AKBEA,USDI - BUREAU OF INDIAN AFFAIRS (Bethel Agency)
AKCIA,USDI - BUREAU OF INDIAN AFFAIRS (Chugachmiut Agency)
AKFAA,USDI - BUREAU OF INDIAN AFFAIRS (Fairbanks Agency)
AKJAO,USDI - BUREAU OF INDIAN AFFAIRS (Juneau Area Office)
AKMEA,USDI - BUREAU OF INDIAN AFFAIRS (Metlakatla Agency)
AKNOA,USDI - BUREAU OF INDIAN AFFAIRS (Nome Agency)
AKAMR,USDI - FISH & WILDLIFE SERVICE (Alaska Maritime NWR)
AKAPR,USDI - FISH & WILDLIFE SERVICE (Alaska Peninsula NWR)
AKARR,USDI - FISH & WILDLIFE SERVICE (Arctic NWR)
AKBCR,USDI - FISH & WILDLIFE SERVICE (Becharof NWR)
AKINR,USDI - FISH & WILDLIFE SERVICE (Innoko NWR)
AKIZR,USDI - FISH & WILDLIFE SERVICE (Izembek NWR)
AKKAR,USDI - FISH & WILDLIFE SERVICE (Kanuti NWR)
AKKDR,USDI - FISH & WILDLIFE SERVICE (Kodiak NWR)
AKKNR,USDI - FISH & WILDLIFE SERVICE (Kenai NWR)
AKKUR,USDI - FISH & WILDLIFE SERVICE (Koyukuk NWR)
AKNOR,USDI - FISH & WILDLIFE SERVICE (Nowitna NWR)
AKSWR,USDI - FISH & WILDLIFE SERVICE (Selawik NWR)
AKTER,USDI - FISH & WILDLIFE SERVICE (Tetlin NWR)
AKTGR,USDI - FISH & WILDLIFE SERVICE (Togiak NWR)
AKYDR,USDI - FISH & WILDLIFE SERVICE (Yukon Delta NWR)
AKYFR,USDI - FISH & WILDLIFE SERVICE (Yukon Flats NWR)
AKANP,USDI - NATIONAL PARK SERVICE (Aniakchak NM & Preserve)
AKBLP,USDI - NATIONAL PARK SERVICE (Bering Land Bridge National Preserve)
AKDEP,USDI - NATIONAL PARK SERVICE (Denali National Park & Preserve)
AKEAP,USDI - NATIONAL PARK SERVICE (Eastern Alaska Park Group)
AKGAP,USDI - NATIONAL PARK SERVICE (Gates of the Artic NP & Preserve)
AKGBP,USDI - NATIONAL PARK SERVICE (Glacier Bay National Park & Preserve)
AKKAP,USDI - NATIONAL PARK SERVICE (Katmai National Park & Preserve)
AKKEP,USDI - NATIONAL PARK SERVICE (Kenai Fjords National Park)
AKKLP,USDI - NATIONAL PARK SERVICE (Klondike Gold Rush NHP)
AKKOP,USDI - NATIONAL PARK SERVICE (Kobuk Valley National Park)
AKKRP,USDI - NATIONAL PARK SERVICE (Cape Krusenstern NM)
AKLCP,USDI - NATIONAL PARK SERVICE (Lake Clark National Park & Preserve)
AKNOP,USDI - NATIONAL PARK SERVICE (Noatak Preserve)
AKROP,USDI - NATIONAL PARK SERVICE (AKRO Default Park Group)
AKSIP,USDI - NATIONAL PARK SERVICE (Sitka NHP)
AKWEP,USDI - NATIONAL PARK SERVICE (Western Alaska Park Group)
AKWSP,USDI - NATIONAL PARK SERVICE (Wrangel-St. Elias NP & Preserve)
AKYCP,USDI - NATIONAL PARK SERVICE (Yukon-Charlie Rivers Nat?l Preserve)
CAENF,USDA - FOREST SERVICE (Eldorado National Forest)
CAKNF,USDA - FOREST SERVICE (Klamath National Forest)
CALNF,USDA - FOREST SERVICE (Lassen National Forest)
CAMDF,USDA - FOREST SERVICE (Modoc National Forest)
CAMNF,USDA - FOREST SERVICE (Mendoci National Forest)
CAPNF,USDA - FOREST SERVICE (Plumas National Forest)
CASHF,USDA - FOREST SERVICE (Shasta-Trinity National Forest)
CASRF,USDA - FOREST SERVICE (Six Rivers National Forest)
CATNF,USDA - FOREST SERVICE (Tahoe National Forest)
CAANF,USDA - FOREST SERVICE (Angeles National Forest)
CABDF,USDA - FOREST SERVICE (San Bernardino National Forest)
CACNF,USDA - FOREST SERVICE (Cleveland National Forest)
CAINF,USDA - FOREST SERVICE (Inyo National Forest)
CALPF,USDA - FOREST SERVICE (Los Padres National Forest)
CASNF,USDA - FOREST SERVICE (Sierra National Forest)
CASQF,USDA - FOREST SERVICE (Sequoia National Forest)
CASTF,USDA - FOREST SERVICE (Stanislaus National Forest)
CANWS,USDC - NATIONAL WEATHER SERVICE (National Weather Service)
CAFBA,USDI - BUREAU OF INDIAN AFFAIRS (Fort Bidwell Agency)
CAHIA,USDI - BUREAU OF INDIAN AFFAIRS (Hoopa Agency)
CANCA,USDI - BUREAU OF INDIAN AFFAIRS (Northern California Agency)
CASCA,USDI - BUREAU OF INDIAN AFFAIRS (SCA  Southern California Agency)
CASYC,USDI - BUREAU OF INDIAN AFFAIRS (SYC  Sycuan Agency)
CATIA,USDI - BUREAU OF INDIAN AFFAIRS (TIA  Tule River Agency)
CANOD,USDI - BUREAU OF LAND MANAGEMENT (Northern California District)
CABBD,USDI - BUREAU OF LAND MANAGEMENT (Bakersfield District)
CACDD,USDI - BUREAU OF LAND MANAGEMENT (California Desert District)
CABRL,USDI - BUREAU OF RECLAIMATION (Mid-Pacific Region)
CACLR,USDI - FISH & WILDLIFE SERVICE (Clear Lake)
CAFWR,USDI - FISH & WILDLIFE SERVICE (San Francisco Bay)
CAHBR,USDI - FISH & WILDLIFE SERVICE (Humboldt Bay)
CALKR,USDI - FISH & WILDLIFE SERVICE (Lower Klamath)
CAMDR,USDI - FISH & WILDLIFE SERVICE (Modoc)
CASWR,USDI - FISH & WILDLIFE SERVICE (Sacramento)
CATLR,USDI - FISH & WILDLIFE SERVICE (Tule Lake)
HIHIR,USDI - FISH & WILDLIFE SERVICE (Hawaiian Islands)
HIHLR,USDI - FISH & WILDLIFE SERVICE (Huleia)
HIHNR,USDI - FISH & WILDLIFE SERVICE (Hanalei)
HIJCR,USDI - FISH & WILDLIFE SERVICE (James C. Campbell)
HIKKR,USDI - FISH & WILDLIFE SERVICE (Kakahaia)
HIPHR,USDI - FISH & WILDLIFE SERVICE (Pearl Harbor)
NVSAR,USDI - FISH & WILDLIFE SERVICE (Sheldon Antelope  NV)
CACBR,USDI - FISH & WILDLIFE SERVICE (Cibola)
CAKRR,USDI - FISH & WILDLIFE SERVICE (Kern)
CALUR,USDI - FISH & WILDLIFE SERVICE (San Luis)
CASSR,USDI - FISH & WILDLIFE SERVICE (Salton Sea)
CATNR,USDI - FISH & WILDLIFE SERVICE (Tijuana Slough)
CABNP,USDI - NATIONAL PARK SERVICE (Lava Beds NM)
CAGNP,USDI - NATIONAL PARK SERVICE (Golden Gate NRA)
CAJMP,USDI - NATIONAL PARK SERVICE (John Muir NHS)
CALNP,USDI - NATIONAL PARK SERVICE (Lassen Volcanic NP)
CAPRP,USDI - NATIONAL PARK SERVICE (Presidio of San Francisco)
CARNP,USDI - NATIONAL PARK SERVICE (Point Reyes National Seashore)
CARWP,USDI - NATIONAL PARK SERVICE (Redwood NP)
CAWNP,USDI - NATIONAL PARK SERVICE (Whiskeytown NRA)
GUAMP,USDI - NATIONAL PARK SERVICE (American Memorial Park)
GUWPP,USDI - NATIONAL PARK SERVICE (War in Pacific NHP)
