,"Please note that for the numeric code values listed below, hierarchical code placeholders are used. These placeholders are not themselves valid codes used for data entry. Instead they are used as section titles for code groups and are intended for use in automated pick-lists and database groupings used by data analysts. They should never be allowed as valid choices for data entry and will be rejected as invalid by the NFIRS 5.0 edits. Some examples of code placeholders are ""1 Fire"" and ""10 Fire, other"" in the Incident Type field listing below."
,
 ,LOCATION TYPE
1,Street address
2,Intersection
3,In front of
4,Rear of
5,Adjacent to
6,Directions
7,US National Grid
,
,STREET PREFIX OR STREET SUFFIX
E,East
N,North
S,South
W,West
NE,Northeast
NW,Northwest
SE,Southeast
SW,Southwest
,
,STREET TYPE
ALY,Alley
ANX,Annex
ARC,Arcade
AVE,Avenue
BCH,Beach
BND,Bend
BLF,Bluff
BLFS,Bluffs
BTM,Bottom
BLVD,Boulevard
BR,Branch
BRG,Bridge
BRK,Brook
BRKS,Brooks
BG,Burg
BGS,Burgs
BYP,Bypass
CP,Camp
CYN,Canyon
CPE,Cape
CSWY,Causeway
CTR,Center
CTRS,Centers
CIR,Circle
CIRS,Circles
CLF,Cliff
CLFS,Cliffs
CLB,Club
CMN,Common
CMNS,Commons
COR,Corner
CORS,Corners
CT,Court
CTS,Courts
CV,Cove
CVS,Coves
CRK,Creek
CRES,Crescent
CRST,Crest
XING,Crossing
XRD,Crossroad
XRDS,Crossroads
CURV,Curve
DL,Dale
DM,Dam
DV,Divide
DR,Drive
DRS,Drives
EST,Estate
ESTS,Estates
EXPY,Expressway
EXT,Extension
EXTS,Extensions
FALL,Fall
FLS,Falls
FRY,Ferry
FLD,Field
FLDS,Fields
FLT,Flat
FLTS,Flats
FRD,Ford
FRDS,Fords
FRST,Forest
FRG,Forge
FRGS,Forges
FRK,Fork
FRKS,Forks
FT,Fort
FWY,Freeway
GDN,Garden
GDNS,Gardens
GTWY,Gateway
GLN,Glen
GLNS,Glens
GRN,Green
GRNS,Greens
GRV,Grove
GRVS,Groves
HBR,Harbor
HBRS,Harbors
HVN,Haven
HTS,Heights
HWY,Highway
HL,Hill
HLS,Hills
HOLW,Hollow
INLT,Inlet
IS,Island
ISS,Islands
ISLE,Isle
JCT,Junction
JCTS,Junctions
KY,Key
KYS,Keys
KNL,Knoll
KNLS,Knolls
LK,Lake
LKS,Lakes
LNDG,Landing
LN,Lane
LGT,Light
LGTS,Lights
LF,Loaf
LCK,Lock
LCKS,Locks
LDG,Lodge
LOOP,Loop
MALL,Mall
MNR,Manor
MNRS,Manors
MDW,Meadow
MDWS,Meadows
MEWS,Mews
ML,Mill
MLS,Mills
MSN,Mission
MTWY,Motorway
MT,Mount
MTN,Mountain
